2023-09-30 15:19:29,209.Smoker_producer.INFO ==================================================
2023-09-30 15:19:29,210.Smoker_producer.INFO Today is 2023-09-30 at 03:19 PM
2023-09-30 15:19:29,210.Smoker_producer.INFO Running on: nt Windows 10
2023-09-30 15:19:29,211.Smoker_producer.INFO Python version:  3.9.12
2023-09-30 15:19:29,211.Smoker_producer.INFO Python path: C:\Users\alhal\miniconda3
2023-09-30 15:19:29,211.Smoker_producer.INFO Working dir: C:\Users\alhal\OneDrive\Documents\44-671\streaming-05-smart-smoker
2023-09-30 15:19:29,211.Smoker_producer.INFO ==================================================
2023-09-30 15:20:18,926.Smoker_producer.INFO  [x] Sent b'05/22/21 12:43:15,No temperature'
2023-09-30 15:20:19,947.Smoker_producer.INFO  [x] Sent b'05/22/21 12:44:10,130.0'
2023-09-30 15:20:19,957.Smoker_producer.INFO  [x] Sent b'05/22/21 12:44:10,No temperature'
2023-09-30 15:20:19,966.Smoker_producer.INFO  [x] Sent b'05/22/21 12:44:10,No temperature'
2023-09-30 15:20:20,983.Smoker_producer.INFO  [x] Sent b'05/22/21 12:44:15,130.0'
2023-09-30 15:20:20,993.Smoker_producer.INFO  [x] Sent b'05/22/21 12:44:15,No temperature'
2023-09-30 15:20:21,000.Smoker_producer.INFO  [x] Sent b'05/22/21 12:44:15,No temperature'
2023-09-30 15:20:22,014.Smoker_producer.INFO  [x] Sent b'05/22/21 12:45:10,130.0'
2023-09-30 15:20:22,022.Smoker_producer.INFO  [x] Sent b'05/22/21 12:45:10,No temperature'
2023-09-30 15:20:22,029.Smoker_producer.INFO  [x] Sent b'05/22/21 12:45:10,No temperature'
2023-09-30 15:20:23,052.Smoker_producer.INFO  [x] Sent b'05/22/21 12:45:15,130.0'
2023-09-30 15:20:23,063.Smoker_producer.INFO  [x] Sent b'05/22/21 12:45:15,No temperature'
2023-09-30 15:20:23,072.Smoker_producer.INFO  [x] Sent b'05/22/21 12:45:15,No temperature'
2023-09-30 15:20:24,095.Smoker_producer.INFO  [x] Sent b'05/22/21 12:46:10,137.3'
2023-09-30 15:20:24,105.Smoker_producer.INFO  [x] Sent b'05/22/21 12:46:10,No temperature'
2023-09-30 15:20:24,112.Smoker_producer.INFO  [x] Sent b'05/22/21 12:46:10,No temperature'
2023-09-30 15:20:25,121.Smoker_producer.INFO  [x] Sent b'05/22/21 12:46:15,137.3'
2023-09-30 15:20:25,132.Smoker_producer.INFO  [x] Sent b'05/22/21 12:46:15,No temperature'
2023-09-30 15:20:25,139.Smoker_producer.INFO  [x] Sent b'05/22/21 12:46:15,No temperature'
2023-09-30 15:20:26,152.Smoker_producer.INFO  [x] Sent b'05/22/21 12:47:10,139.5'
2023-09-30 15:20:26,166.Smoker_producer.INFO  [x] Sent b'05/22/21 12:47:10,No temperature'
2023-09-30 15:20:26,172.Smoker_producer.INFO  [x] Sent b'05/22/21 12:47:10,No temperature'
2023-09-30 15:20:27,184.Smoker_producer.INFO  [x] Sent b'05/22/21 12:47:15,139.5'
2023-09-30 15:20:27,195.Smoker_producer.INFO  [x] Sent b'05/22/21 12:47:15,No temperature'
2023-09-30 15:20:27,202.Smoker_producer.INFO  [x] Sent b'05/22/21 12:47:15,No temperature'
2023-09-30 15:20:28,225.Smoker_producer.INFO  [x] Sent b'05/22/21 12:48:10,141.8'
2023-09-30 15:20:28,234.Smoker_producer.INFO  [x] Sent b'05/22/21 12:48:10,No temperature'
2023-09-30 15:20:28,239.Smoker_producer.INFO  [x] Sent b'05/22/21 12:48:10,No temperature'
2023-09-30 15:20:29,261.Smoker_producer.INFO  [x] Sent b'05/22/21 12:48:15,141.8'
2023-09-30 15:20:29,275.Smoker_producer.INFO  [x] Sent b'05/22/21 12:48:15,No temperature'
2023-09-30 15:20:29,282.Smoker_producer.INFO  [x] Sent b'05/22/21 12:48:15,No temperature'
2023-09-30 15:20:30,298.Smoker_producer.INFO  [x] Sent b'05/22/21 12:49:10,143.6'
2023-09-30 15:20:30,310.Smoker_producer.INFO  [x] Sent b'05/22/21 12:49:10,No temperature'
2023-09-30 15:20:30,315.Smoker_producer.INFO  [x] Sent b'05/22/21 12:49:10,No temperature'
2023-09-30 15:20:31,327.Smoker_producer.INFO  [x] Sent b'05/22/21 12:49:15,143.6'
2023-09-30 15:20:31,336.Smoker_producer.INFO  [x] Sent b'05/22/21 12:49:15,No temperature'
2023-09-30 15:20:31,346.Smoker_producer.INFO  [x] Sent b'05/22/21 12:49:15,No temperature'
2023-09-30 15:20:32,362.Smoker_producer.INFO  [x] Sent b'05/22/21 12:50:10,145.0'
2023-09-30 15:20:32,370.Smoker_producer.INFO  [x] Sent b'05/22/21 12:50:10,No temperature'
2023-09-30 15:20:32,382.Smoker_producer.INFO  [x] Sent b'05/22/21 12:50:10,No temperature'
2023-09-30 15:20:33,405.Smoker_producer.INFO  [x] Sent b'05/22/21 12:50:15,145.0'
2023-09-30 15:20:33,418.Smoker_producer.INFO  [x] Sent b'05/22/21 12:50:15,No temperature'
