2023-09-30 15:20:10,525.FoodA_consumer.INFO ==================================================
2023-09-30 15:20:10,525.FoodA_consumer.INFO Today is 2023-09-30 at 03:20 PM
2023-09-30 15:20:10,526.FoodA_consumer.INFO Running on: nt Windows 10
2023-09-30 15:20:10,526.FoodA_consumer.INFO Python version:  3.9.12
2023-09-30 15:20:10,527.FoodA_consumer.INFO Python path: C:\Users\alhal\miniconda3
2023-09-30 15:20:10,527.FoodA_consumer.INFO Working dir: C:\Users\alhal\OneDrive\Documents\44-671\streaming-05-smart-smoker
2023-09-30 15:20:10,600.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,601.FoodA_consumer.INFO  [x] Received 05/22/21 14:04:40,48.2
2023-09-30 15:20:10,601.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,602.FoodA_consumer.INFO  [x] Received 05/22/21 14:04:45,No temperature
2023-09-30 15:20:10,603.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,603.FoodA_consumer.INFO  [x] Received 05/22/21 14:05:10,No temperature
2023-09-30 15:20:10,604.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,605.FoodA_consumer.INFO  [x] Received 05/22/21 14:05:15,No temperature
2023-09-30 15:20:10,605.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,606.FoodA_consumer.INFO  [x] Received 05/22/21 14:05:35,49.4
2023-09-30 15:20:10,606.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,611.FoodA_consumer.INFO  [x] Received 05/22/21 14:05:40,49.4
2023-09-30 15:20:10,611.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,613.FoodA_consumer.INFO  [x] Received 05/22/21 14:05:45,No temperature
2023-09-30 15:20:10,613.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,614.FoodA_consumer.INFO  [x] Received 05/22/21 14:06:10,No temperature
2023-09-30 15:20:10,614.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,615.FoodA_consumer.INFO  [x] Received 05/22/21 14:06:15,No temperature
2023-09-30 15:20:10,615.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,616.FoodA_consumer.INFO  [x] Received 05/22/21 14:06:35,50.5
2023-09-30 15:20:10,616.FoodA_consumer.INFO  [x] Done.
