2023-09-30 15:20:30,768.FoodB_consumer.INFO ==================================================
2023-09-30 15:20:30,768.FoodB_consumer.INFO Today is 2023-09-30 at 03:20 PM
2023-09-30 15:20:30,769.FoodB_consumer.INFO Running on: nt Windows 10
2023-09-30 15:20:30,769.FoodB_consumer.INFO Python version:  3.9.12
2023-09-30 15:20:30,770.FoodB_consumer.INFO Python path: C:\Users\alhal\miniconda3
2023-09-30 15:20:30,771.FoodB_consumer.INFO Working dir: C:\Users\alhal\OneDrive\Documents\44-671\streaming-05-smart-smoker
2023-09-30 15:20:30,867.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,868.FoodB_consumer.INFO  [x] Received 05/22/21 14:10:35,No temperature
2023-09-30 15:20:30,868.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,869.FoodB_consumer.INFO  [x] Received 05/22/21 14:10:40,45.4
2023-09-30 15:20:30,869.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,870.FoodB_consumer.INFO  [x] Received 05/22/21 14:10:45,45.4
2023-09-30 15:20:30,870.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,870.FoodB_consumer.INFO  [x] Received 05/22/21 14:11:10,No temperature
2023-09-30 15:20:30,871.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,871.FoodB_consumer.INFO  [x] Received 05/22/21 14:11:15,No temperature
2023-09-30 15:20:30,872.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,876.FoodB_consumer.INFO  [x] Received 05/22/21 14:11:35,No temperature
2023-09-30 15:20:30,876.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,878.FoodB_consumer.INFO  [x] Received 05/22/21 14:11:40,46.1
2023-09-30 15:20:30,878.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,879.FoodB_consumer.INFO  [x] Received 05/22/21 14:11:45,46.1
2023-09-30 15:20:30,879.FoodB_consumer.INFO  [x] Done.
